id,session_id,position,guess_number,guessed_character,is_correct
1671,71,84,9,Б,True
1672,71,85,1,А,False
1673,73,74,1,Г,False
1674,78,71,1,И,True
1675,80,71,1,А,True
1676,72,77,3,Р,False
1677,81,70,1,Т,True
1678,68,77,9,Й,False
1679,78,72,1, ,True
1680,72,77,4,П,False
1681,73,74,2,Е,False
1682,81,71,1,И,True
1683,71,85,2,У,True
1684,80,71,2,О,False
1685,75,71,6,Т,True
1686,81,72,1, ,True
1687,71,86,1,Л,True
1688,81,73,1,С,False
1689,68,77,10,З,False
1690,67,89,2,Т,False
1691,82,70,1, ,False
1692,71,86,2,Д,False
1693,67,89,3,К,False
1694,72,77,5,З,False
1695,75,72,1,Е,True
1696,79,70,1,Е,True
1697,69,79,4,Д,False
1698,69,79,5,В,False
1699,71,86,3,Т,False
1700,81,73,2,В,False
1701,71,86,4,К,False
1702,72,77,6,Й,False
1703,77,72,1,М,True
1704,81,73,3,Ї,True
1705,81,74,1,Ї,True
1706,73,74,3,І,False
1707,81,75,1, ,True
1708,71,86,5,Ц,False
1709,69,79,6,Ф,False
1711,80,71,3,Е,False
1713,81,76,2,В,False
1714,75,72,2,И,False
1716,68,77,11,Ж,False
1718,74,71,5,В,False
2260,91,73,24,Є,False
2266,90,72,5,У,False
2273,79,75,1, ,True
2275,92,78,4,М,False
2290,90,72,8,І,False
2295,89,79,3,И,True
2298,93,70,4,Л,False
2304,91,75,1,Ч,False
2313,86,72,8,Я,False
2320,93,70,5,Ї,False
2325,88,85,1, ,True
2329,96,71,1, ,True
2334,88,87,1,Е,True
2340,97,75,1,Ч,False
2348,91,76,3,Е,False
2352,88,89,1,О,False
2362,88,89,2,Д,False
2369,79,80,1,Ж,False
2378,88,89,3,М,False
2391,90,73,2,Я,False
2396,88,89,6,Ч,False
2399,84,73,2,О,False
2404,88,89,7,Т,False
2408,82,85,3,З,True
2415,82,86,1,М,True
2419,91,78,2,О,False
2431,82,88,1,Р,True
2435,89,82,5,Б,False
2446,88,89,13,Ш,False
2453,84,76,1,Щ,False
2457,82,91,1,Е,True
2464,93,70,14,И,False
2485,89,83,1,Г,False
2507,95,73,3,О,False
2514,95,73,5,Є,False
2524,79,82,3,З,False
2538,98,71,1,И,True
2542,90,76,1,В,True
2555,87,74,1,І,False
2566,84,77,1,А,True
2570,90,76,2,Н,False
2573,88,90,11,Л,False
2582,100,72,1,Т,False
2589,84,79,1,Т,False
2604,87,74,4,Н,False
2631,90,77,1,Т,False
2662,82,96,2,Р,False
2682,79,84,14, ,False
2713,94,74,6, ,False
2717,104,70,4,Ж,False
2751,94,74,9,М,False
2755,79,85,4,М,False
2758,98,73,5,Т,False
2778,105,71,1,Ї,False
2779,104,70,9,Г,False
2821,92,89,2,В,False
2844,79,85,12,Щ,False
2848,105,72,2,У,False
2854,98,73,12,Ц,False
2856,79,85,13,Ч,False
2876,82,97,13,М,False
2892,96,75,30,Г,False
2906,104,70,24,С,False
2908,86,76,13,В,False
2921,97,77,18,Г,False
2933,110,71,4,И,False
2945,82,97,15,Т,False
2951,97,77,22,В,False
2967,86,76,22,Р,False
2977,82,97,19,З,False
2994,110,71,11,Н,False
3016,84,81,13,М,False
3024,86,77,6,Х,False
3049,104,71,12,О,False
3051,79,91,1, ,False
3095,110,72,3,Т,False
3101,82,98,3,М,False
3123,86,77,23,О,False
3141,105,72,17,Ш,False
3155,79,100,1, ,False
3169,94,74,17,Г,False
3180,98,76,1, ,False
3192,71,87,14,Ґ,False
3193,84,82,5,И,False
3213,98,73,28,И,False
3217,84,82,8,Є,False
3223,94,74,21,Ц,False
3243,84,82,17,Я,False
3253,84,82,22,П,False
3254,71,87,26,Ї,False
3257,105,83,1,В,False
3264,96,76,5,Й,False
3277,98,76,2,Ї,False
3300,98,91,1,Ї,False
3317,94,74,28,Я,False
3337,105,113,1, ,False
3340,98,90,1,Ї,False
3347,94,74,30,Ь,False
3356,98,105,1,Ї,False
3366,96,76,7,Б,False
3371,101,78,1,Я,False
3389,94,80,1,А,False
3406,96,76,10,Ц,False
